,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
474,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:11:31,FALSE,NA,982848391691431937,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kkrittapaa,3665,TRUE,FALSE,NA,NA,"กรุงเทพมหานคร, ประเทศไทย",th,http://pbs.twimg.com/profile_images/942079624049070080/roS_ervK_normal.jpg
475,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:09:45,FALSE,NA,982847947770511360,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",isarakornn,3665,TRUE,FALSE,NA,NA,Thailand,th,http://pbs.twimg.com/profile_images/983305708320964609/Pt-O1q_V_normal.jpg
476,RT @kousama2016: @Ligia1712M ��good night &amp; sleep tight�� https://t.co/MpW1EKoVsk,FALSE,0,NA,2018-04-08 5:08:08,FALSE,NA,982847537584443392,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ligia1712M,2,TRUE,FALSE,NA,NA,"San José, Costa Rica",es,http://pbs.twimg.com/profile_images/978386509844934656/nla5QT6A_normal.jpg
477,RT @punk_geisha: @morningpassages @weareoneEXO Lets ask the other EXO L accounts from other countries- MOST in asia right now are gonna sle…,FALSE,0,NA,2018-04-08 5:07:28,FALSE,NA,982847372634898432,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GiaLinh_197,20,TRUE,FALSE,NA,NA,"Hồ Chí Minh, Việt Nam",vi,http://pbs.twimg.com/profile_images/983446071345991680/wZBDG0BK_normal.jpg
478,RT @punk_geisha: @morningpassages @weareoneEXO Lets ask the other EXO L accounts from other countries- MOST in asia right now are gonna sle…,FALSE,0,NA,2018-04-08 5:03:30,FALSE,NA,982846371756560384,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",peachymyeonie,20,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/974167109776285696/YWuk0yG3_normal.jpg
479,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:02:31,FALSE,NA,982846124456161285,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mckylamaxine,3665,TRUE,FALSE,NA,NA,bts | jk,en,http://pbs.twimg.com/profile_images/982274806065152002/8ou0VYHk_normal.jpg
480,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:02:12,FALSE,NA,982846046358331395,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",goldengguk_,3665,TRUE,FALSE,NA,NA,busan ���� • ����,en,http://pbs.twimg.com/profile_images/982277131760631808/3ThewNeZ_normal.jpg
481,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:01:05,FALSE,NA,982845764652199936,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sunnyforjimin,3665,TRUE,FALSE,NA,NA,��H O P E W O R L D ✌️️,en,http://pbs.twimg.com/profile_images/980487673981947904/WLVZtfPo_normal.jpg
482,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 4:57:14,FALSE,NA,982844797999337472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hopethestreets,3665,TRUE,FALSE,NA,NA,hope world,en,http://pbs.twimg.com/profile_images/983072298218479618/WAg1kccZ_normal.jpg
483,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 4:55:23,FALSE,NA,982844332393676803,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_mochijimin,3665,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/982472410673725440/6TWVwge1_normal.jpg
